שנה,סעיף תקציבי,כותרת סעיף,גוף נתמך,מספר גוף,סוג גוף,סכום שאושר,סכום שהועבר,כתובת (מגיידסטאר / רשם החברות),עיר,מיקוד
2010,19310367,תרבות בקהילה - תמיכה,אילן אגוד ישראלי לילדים נפגעים,580036242,association,"₪25,000","₪25,000",רחוב גורדון 9 תל אביב - יפו 63458,תל אביב - יפו,
2009,19310367,תרבות בקהילה - תמיכה,אילן אגוד ישראלי לילדים נפגעים,580036242,association,"₪25,000","₪25,000",רחוב גורדון 9 תל אביב - יפו 63458,תל אביב - יפו,
2008,19310367,תרבות בקהילה - תמיכה,אילן אגוד ישראלי לילדים נפגעים,580036242,association,"₪25,000","₪25,000",רחוב גורדון 9 תל אביב - יפו 63458,תל אביב - יפו,
2016,19420236,בתי ספר לאומנות - תמיכה,אימפרו - הסטודיו למשחק בקולנוע טלוו,580546067,association,"₪110,623","₪110,623",ז'בוטינסקי 104 רמת גן 5241214,רמת גן,
2015,19420236,בתי ספר לאומנות - תמיכה,אימפרו - הסטודיו למשחק בקולנוע טלוו,580546067,association,"₪100,000","₪100,000",ז'בוטינסקי 104 רמת גן 5241214,רמת גן,
2014,19420236,בתי ספר לאומנות - תמיכה,אימפרו - הסטודיו למשחק בקולנוע טלוו,580546067,association,"₪100,000","₪100,000",ז'בוטינסקי 104 רמת גן 5241214,רמת גן,
2011,19310373,פעולות תרבות ערבית - תמיכה,אל - מואכב,580082147,association,"₪28,937","₪28,937","ריינה 4/220 ד""ר פחד אבו ח'דרה ת.ד. 406 ריינה 1694000",ריינה,
2012,19420233,,אל - מואכב,580082147,association,"₪28,060","₪28,060","ריינה 4/220 ד""ר פחד אבו ח'דרה ת.ד. 406 ריינה 1694000",ריינה,
2009,19310373,פעולות תרבות ערבית - תמיכה,אל - מואכב,580082147,association,"₪23,663","₪23,663","ריינה 4/220 ד""ר פחד אבו ח'דרה ת.ד. 406 ריינה 1694000",ריינה,
2010,19310373,פעולות תרבות ערבית - תמיכה,אל - מואכב,580082147,association,"₪21,764","₪21,764","ריינה 4/220 ד""ר פחד אבו ח'דרה ת.ד. 406 ריינה 1694000",ריינה,
2008,19310373,פעולות תרבות ערבית - תמיכה,אל - מואכב,580082147,association,"₪19,606","₪19,606","ריינה 4/220 ד""ר פחד אבו ח'דרה ת.ד. 406 ריינה 1694000",ריינה,
2013,19420233,פעולות תרבות ערבית,אל - מואכב,580082147,association,"₪16,051","₪16,051","ריינה 4/220 ד""ר פחד אבו ח'דרה ת.ד. 406 ריינה 1694000",ריינה,
2016,19420233,פעולות תרבות ערבית,אל- תואסל (ער),580501823,association,"₪65,024","₪65,024","יוסף שלבי ת""ד 376 אכסאל 16920",אכסאל,
2015,19420233,פעולות תרבות ערבית,אל- תואסל (ער),580501823,association,"₪63,479","₪63,479","יוסף שלבי ת""ד 376 אכסאל 16920",אכסאל,
2012,19420233,,אל- תואסל (ער),580501823,association,"₪28,671","₪28,671","יוסף שלבי ת""ד 376 אכסאל 16920",אכסאל,
2014,19420233,פעולות תרבות ערבית,אל- תואסל (ער),580501823,association,"₪27,209","₪27,209","יוסף שלבי ת""ד 376 אכסאל 16920",אכסאל,
2013,19420233,פעולות תרבות ערבית,אל- תואסל (ער),580501823,association,"₪23,055","₪23,055","יוסף שלבי ת""ד 376 אכסאל 16920",אכסאל,
2008,19310373,פעולות תרבות ערבית - תמיכה,אל-זירה (ער),580422236,association,"₪29,414","₪22,061","עווד פאעור, ת.ד. 38 עכו 24101",עכו,
2016,19420233,פעולות תרבות ערבית,אלאגיאל טמרה (ער),580370294,association,"₪660,505","₪660,505",רח' אלאירופה אצל מחמוד עכאשה טמרה 24930,טמרה,
2015,19420233,פעולות תרבות ערבית,אלאגיאל טמרה (ער),580370294,association,"₪599,866","₪599,866",רח' אלאירופה אצל מחמוד עכאשה טמרה 24930,טמרה,
2011,19310373,פעולות תרבות ערבית - תמיכה,אלאגיאל טמרה (ער),580370294,association,"₪406,551","₪406,551",רח' אלאירופה אצל מחמוד עכאשה טמרה 24930,טמרה,
2010,19310373,פעולות תרבות ערבית - תמיכה,אלאגיאל טמרה (ער),580370294,association,"₪364,141","₪364,141",רח' אלאירופה אצל מחמוד עכאשה טמרה 24930,טמרה,
2013,19420233,פעולות תרבות ערבית,אלאגיאל טמרה (ער),580370294,association,"₪347,376","₪347,376",רח' אלאירופה אצל מחמוד עכאשה טמרה 24930,טמרה,
2014,19420233,פעולות תרבות ערבית,אלאגיאל טמרה (ער),580370294,association,"₪330,549","₪330,549",רח' אלאירופה אצל מחמוד עכאשה טמרה 24930,טמרה,
2008,19310373,פעולות תרבות ערבית - תמיכה,אלאגיאל טמרה (ער),580370294,association,"₪294,141","₪294,141",רח' אלאירופה אצל מחמוד עכאשה טמרה 24930,טמרה,
2012,19420233,,אלאגיאל טמרה (ער),580370294,association,"₪292,919","₪292,919",רח' אלאירופה אצל מחמוד עכאשה טמרה 24930,טמרה,
2009,19310373,פעולות תרבות ערבית - תמיכה,אלאגיאל טמרה (ער),580370294,association,"₪265,649","₪265,649",רח' אלאירופה אצל מחמוד עכאשה טמרה 24930,טמרה,
2016,19420235,תרבות בנגב,אלאגיאל טמרה (ער),580370294,association,"₪25,723","₪25,723",רח' אלאירופה אצל מחמוד עכאשה טמרה 24930,טמרה,
2016,19420233,פעולות תרבות ערבית,אלאופק ללתקאפה ולפנון,580282218,association,"₪643,613","₪643,613",יוסיפון 79 ת.ד. 9526 חיפה 31095,חיפה,
2015,19420233,פעולות תרבות ערבית,אלאופק ללתקאפה ולפנון,580282218,association,"₪315,123","₪315,123",יוסיפון 79 ת.ד. 9526 חיפה 31095,חיפה,
2014,19420233,פעולות תרבות ערבית,אלאופק ללתקאפה ולפנון,580282218,association,"₪232,588","₪232,588",יוסיפון 79 ת.ד. 9526 חיפה 31095,חיפה,
2013,19420233,פעולות תרבות ערבית,אלאופק ללתקאפה ולפנון,580282218,association,"₪143,061","₪143,061",יוסיפון 79 ת.ד. 9526 חיפה 31095,חיפה,
2008,19310373,פעולות תרבות ערבית - תמיכה,אלאופק ללתקאפה ולפנון,580282218,association,"₪98,047","₪98,047",יוסיפון 79 ת.ד. 9526 חיפה 31095,חיפה,
2009,19310373,פעולות תרבות ערבית - תמיכה,אלאופק ללתקאפה ולפנון,580282218,association,"₪91,422","₪91,422",יוסיפון 79 ת.ד. 9526 חיפה 31095,חיפה,
2012,19420233,,אלאופק ללתקאפה ולפנון,580282218,association,"₪84,121","₪84,121",יוסיפון 79 ת.ד. 9526 חיפה 31095,חיפה,
2010,19310373,פעולות תרבות ערבית - תמיכה,אלאופק ללתקאפה ולפנון,580282218,association,"₪70,183","₪70,183",יוסיפון 79 ת.ד. 9526 חיפה 31095,חיפה,
2009,19310373,פעולות תרבות ערבית - תמיכה,"אלאנדלוס לחקר, תרבות וספורט (ער)",580426492,association,"₪39,350","₪39,350","רח' אלזערורה 6, אצל טארק מוראד כפר מנדא 17907",כפר מנדא,
2008,19310373,פעולות תרבות ערבית - תמיכה,"אלאנדלוס לחקר, תרבות וספורט (ער)",580426492,association,"₪39,219","₪39,219","רח' אלזערורה 6, אצל טארק מוראד כפר מנדא 17907",כפר מנדא,
2015,19420233,פעולות תרבות ערבית,"אלאנדלוס לחקר, תרבות וספורט (ער)",580426492,association,"₪38,337","₪38,337","רח' אלזערורה 6, אצל טארק מוראד כפר מנדא 17907",כפר מנדא,
2016,19420233,פעולות תרבות ערבית,"אלאנדלוס לחקר, תרבות וספורט (ער)",580426492,association,"₪37,286","₪37,286","רח' אלזערורה 6, אצל טארק מוראד כפר מנדא 17907",כפר מנדא,
2014,19420233,פעולות תרבות ערבית,"אלאנדלוס לחקר, תרבות וספורט (ער)",580426492,association,"₪30,944","₪30,944","רח' אלזערורה 6, אצל טארק מוראד כפר מנדא 17907",כפר מנדא,
2011,19310373,פעולות תרבות ערבית - תמיכה,"אלאנדלוס לחקר, תרבות וספורט (ער)",580426492,association,"₪28,720","₪28,720","רח' אלזערורה 6, אצל טארק מוראד כפר מנדא 17907",כפר מנדא,
2012,19420233,,"אלאנדלוס לחקר, תרבות וספורט (ער)",580426492,association,"₪25,374","₪25,374","רח' אלזערורה 6, אצל טארק מוראד כפר מנדא 17907",כפר מנדא,
2013,19420233,פעולות תרבות ערבית,"אלאנדלוס לחקר, תרבות וספורט (ער)",580426492,association,"₪23,055","₪23,055","רח' אלזערורה 6, אצל טארק מוראד כפר מנדא 17907",כפר מנדא,
2010,19310373,פעולות תרבות ערבית - תמיכה,"אלאנדלוס לחקר, תרבות וספורט (ער)",580426492,association,"₪12,267","₪12,267","רח' אלזערורה 6, אצל טארק מוראד כפר מנדא 17907",כפר מנדא,
2015,19420233,פעולות תרבות ערבית,אלביר- לטיפוח התרבות והקהילה בוואדי,580460285,association,"₪132,878","₪132,878",כפר קרע 00 כפר קרע כפר קרע 3007500,כפר קרע,
2016,19420233,פעולות תרבות ערבית,אלביר- לטיפוח התרבות והקהילה בוואדי,580460285,association,"₪129,065","₪129,065",כפר קרע 00 כפר קרע כפר קרע 3007500,כפר קרע,
2013,19420233,פעולות תרבות ערבית,אלביר- לטיפוח התרבות והקהילה בוואדי,580460285,association,"₪40,291","₪40,291",כפר קרע 00 כפר קרע כפר קרע 3007500,כפר קרע,
2012,19420210,,אלביר- לטיפוח התרבות והקהילה בוואדי,580460285,association,"₪36,000",₪0,כפר קרע 00 כפר קרע כפר קרע 3007500,כפר קרע,
2012,19420224,,אלביר- לטיפוח התרבות והקהילה בוואדי,580460285,association,"₪35,917","₪35,917",כפר קרע 00 כפר קרע כפר קרע 3007500,כפר קרע,
2013,19420224,אמנות פלסטית,אלביר- לטיפוח התרבות והקהילה בוואדי,580460285,association,"₪34,811","₪34,811",כפר קרע 00 כפר קרע כפר קרע 3007500,כפר קרע,
2011,19310373,פעולות תרבות ערבית - תמיכה,אלביר- לטיפוח התרבות והקהילה בוואדי,580460285,association,"₪31,881","₪31,881",כפר קרע 00 כפר קרע כפר קרע 3007500,כפר קרע,
2011,19310356,אמנות פלסטית,אלביר- לטיפוח התרבות והקהילה בוואדי,580460285,association,"₪25,000","₪25,000",כפר קרע 00 כפר קרע כפר קרע 3007500,כפר קרע,
2012,19420233,,אלביר- לטיפוח התרבות והקהילה בוואדי,580460285,association,"₪24,701","₪24,701",כפר קרע 00 כפר קרע כפר קרע 3007500,כפר קרע,
2010,19310373,פעולות תרבות ערבית - תמיכה,אלביר- לטיפוח התרבות והקהילה בוואדי,580460285,association,"₪17,894","₪17,894",כפר קרע 00 כפר קרע כפר קרע 3007500,כפר קרע,
2010,19310356,אמנות פלסטית,אלביר- לטיפוח התרבות והקהילה בוואדי,580460285,association,"₪15,600","₪15,600",כפר קרע 00 כפר קרע כפר קרע 3007500,כפר קרע,
2009,19310373,פעולות תרבות ערבית - תמיכה,אלבר ואלאחא רהט (ער),580366193,association,"₪41,372","₪41,372",רהט 1 אצל אבו פריח אחמדת.ד. 451 רהט 85357,רהט,
2008,19310373,פעולות תרבות ערבית - תמיכה,אלבר ואלאחא רהט (ער),580366193,association,"₪39,219","₪39,219",רהט 1 אצל אבו פריח אחמדת.ד. 451 רהט 85357,רהט,
2011,19310373,פעולות תרבות ערבית - תמיכה,אלבר ואלאחא רהט (ער),580366193,association,"₪16,965","₪16,965",רהט 1 אצל אבו פריח אחמדת.ד. 451 רהט 85357,רהט,
2009,19310376,"ב""ש והנגב",אלבר ואלאחא רהט (ער),580366193,association,"₪7,266","₪7,266",רהט 1 אצל אבו פריח אחמדת.ד. 451 רהט 85357,רהט,
2016,19420233,פעולות תרבות ערבית,אלגואל אלבלדי (ער),580309532,association,"₪644,360","₪644,360",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2008,19310373,פעולות תרבות ערבית - תמיכה,אלגואל אלבלדי (ער),580309532,association,"₪566,975","₪566,975",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2015,19420233,פעולות תרבות ערבית,אלגואל אלבלדי (ער),580309532,association,"₪500,000","₪500,000",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2009,19310373,פעולות תרבות ערבית - תמיכה,אלגואל אלבלדי (ער),580309532,association,"₪460,232","₪460,232",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2010,19310373,פעולות תרבות ערבית - תמיכה,אלגואל אלבלדי (ער),580309532,association,"₪459,119","₪459,119",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2011,19310373,פעולות תרבות ערבית - תמיכה,אלגואל אלבלדי (ער),580309532,association,"₪359,471","₪359,471",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2012,19420233,,אלגואל אלבלדי (ער),580309532,association,"₪344,245","₪344,245",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2013,19420233,פעולות תרבות ערבית,אלגואל אלבלדי (ער),580309532,association,"₪339,670","₪339,670",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2014,19420233,פעולות תרבות ערבית,אלגואל אלבלדי (ער),580309532,association,"₪310,043","₪310,043",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2012,19420210,,אלגואל אלבלדי (ער),580309532,association,"₪80,000",₪0,עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2016,19420235,תרבות בנגב,אלגואל אלבלדי (ער),580309532,association,"₪25,094","₪25,094",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2016,19420226,פסטיבלים לתרבות ואומנות - תמיכה,אלגואל אלבלדי (ער),580309532,association,"₪20,400","₪20,400",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2014,19420226,פסטיבלים לתרבות ואומנות - תמיכה,אלגואל אלבלדי (ער),580309532,association,"₪20,000","₪20,000",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2013,19420226,פסטיבלים לתרבות ואומנות - תמיכה,אלגואל אלבלדי (ער),580309532,association,"₪20,000","₪20,000",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2012,19420226,,אלגואל אלבלדי (ער),580309532,association,"₪20,000","₪20,000",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2015,19420226,פסטיבלים לתרבות ואומנות - תמיכה,אלגואל אלבלדי (ער),580309532,association,"₪19,732","₪19,732",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2011,19310359,פסטיבלים לתרבות ואמנות - תמיכה,אלגואל אלבלדי (ער),580309532,association,"₪15,000","₪15,000",עדל אבו ריא ת.ד. 2326 סח'נין 20173,סח'נין,
2008,19310373,פעולות תרבות ערבית - תמיכה,אלגמאהיר - עמותה למען קידום חברתי,580353571,association,"₪58,828","₪44,121",מונטיפיורי 10 באר שבע 8429722,באר שבע,
2016,19420231,תרבות בקהילה תמיכה,אלון יזרעאל - מחול בעמק (ער),580499143,association,"₪35,000","₪35,000",הגליל 80 אצל אפי ליבנה גבעת אלה 23800,גבעת אלה,
2015,19420231,תרבות בקהילה תמיכה,אלון יזרעאל - מחול בעמק (ער),580499143,association,"₪30,000","₪30,000",הגליל 80 אצל אפי ליבנה גבעת אלה 23800,גבעת אלה,
2008,19310373,פעולות תרבות ערבית - תמיכה,אלופא ואל אמל גמעיה נישאיה חיריי,580056331,association,"₪49,023","₪46,082",ביר בורין 0 ת.ד 1066 אצל ביאדסי רוקייה באקה אל-גרביה 3010000,באקה אל-גרביה,
2009,19310373,פעולות תרבות ערבית - תמיכה,אלחימה- עמותה לחינוך ופיתוח (ער),580391084,association,"₪38,726","₪38,726",שכונת הבדואים טייבה 40400,טייבה,
2011,19310373,פעולות תרבות ערבית - תמיכה,אלחימה- עמותה לחינוך ופיתוח (ער),580391084,association,"₪31,296","₪31,296",שכונת הבדואים טייבה 40400,טייבה,
2010,19310373,פעולות תרבות ערבית - תמיכה,אלחימה- עמותה לחינוך ופיתוח (ער),580391084,association,"₪23,602","₪23,602",שכונת הבדואים טייבה 40400,טייבה,
2016,19420233,פעולות תרבות ערבית,אלחנין נצרת (ער),580379758,association,"₪804,162","₪804,162",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2015,19420233,פעולות תרבות ערבית,אלחנין נצרת (ער),580379758,association,"₪650,000","₪650,000",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2013,19420210,תמיכה בשיפוצי מוסדות,אלחנין נצרת (ער),580379758,association,"₪624,486","₪124,897",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2012,19420233,,אלחנין נצרת (ער),580379758,association,"₪552,232","₪552,232",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2014,19420233,פעולות תרבות ערבית,אלחנין נצרת (ער),580379758,association,"₪529,413","₪529,413",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2013,19420233,פעולות תרבות ערבית,אלחנין נצרת (ער),580379758,association,"₪516,083","₪516,083",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2011,19310373,פעולות תרבות ערבית - תמיכה,אלחנין נצרת (ער),580379758,association,"₪506,386","₪506,386",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2010,19310373,פעולות תרבות ערבית - תמיכה,אלחנין נצרת (ער),580379758,association,"₪459,515","₪459,515",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2008,19310373,פעולות תרבות ערבית - תמיכה,אלחנין נצרת (ער),580379758,association,"₪294,141","₪294,141",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2009,19310373,פעולות תרבות ערבית - תמיכה,אלחנין נצרת (ער),580379758,association,"₪248,691","₪248,691",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2008,19310340,תמיכה לשיפוצים במוסדות תרבות,אלחנין נצרת (ער),580379758,association,"₪50,000","₪50,000",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2016,19420235,תרבות בנגב,אלחנין נצרת (ער),580379758,association,"₪31,317","₪31,317",רח' 6087 בית 1 א' 1 אצל לוטוף נוייסר נצרת 16092,נצרת,
2009,19310373,פעולות תרבות ערבית - תמיכה,אליאטר - עמותה לקידום תרבותי וחברתי,580276582,association,"₪22,592","₪22,592",נוי דוד 47 סאמי הוארי עכו 2430405,עכו,
2015,19420233,פעולות תרבות ערבית,אלכרואן (ער),580296952,association,"₪397,329","₪397,329",אעבלין 0 אצל נביה עואד אעבלין 3001200,אעבלין,
2016,19420233,פעולות תרבות ערבית,אלכרואן (ער),580296952,association,"₪362,385","₪362,385",אעבלין 0 אצל נביה עואד אעבלין 3001200,אעבלין,
2013,19420233,פעולות תרבות ערבית,אלכרואן (ער),580296952,association,"₪185,145","₪185,145",אעבלין 0 אצל נביה עואד אעבלין 3001200,אעבלין,
2014,19420233,פעולות תרבות ערבית,אלכרואן (ער),580296952,association,"₪177,729","₪177,729",אעבלין 0 אצל נביה עואד אעבלין 3001200,אעבלין,
2012,19420233,,אלכרואן (ער),580296952,association,"₪120,365","₪120,365",אעבלין 0 אצל נביה עואד אעבלין 3001200,אעבלין,
2011,19310373,פעולות תרבות ערבית - תמיכה,אלכרואן (ער),580296952,association,"₪109,005","₪109,005",אעבלין 0 אצל נביה עואד אעבלין 3001200,אעבלין,
2010,19310373,פעולות תרבות ערבית - תמיכה,אלכרואן (ער),580296952,association,"₪65,678","₪65,678",אעבלין 0 אצל נביה עואד אעבלין 3001200,אעבלין,
2008,19310373,פעולות תרבות ערבית - תמיכה,אלכרואן (ער),580296952,association,"₪58,828","₪58,828",אעבלין 0 אצל נביה עואד אעבלין 3001200,אעבלין,
2009,19310373,פעולות תרבות ערבית - תמיכה,אלכרואן (ער),580296952,association,"₪45,488","₪45,488",אעבלין 0 אצל נביה עואד אעבלין 3001200,אעבלין,
2016,19420233,פעולות תרבות ערבית,אלמועלם לתיאטרון ודרמה (ער),580551570,association,"₪73,542","₪73,542",רח 6153 20 אוסמה מועלם נצרת 1604442,נצרת,
2016,19420233,פעולות תרבות ערבית,אלמיאדין תיאטרון א. א. פחם (ער),580354850,association,"₪118,045","₪118,045","רח' מחאמיד, שכ' עין ג'ראר אצל מחאמיד חאלד סאלח אום אל-פחם 30010",אל-פחם,
2015,19420233,פעולות תרבות ערבית,אלמיאדין תיאטרון א. א. פחם (ער),580354850,association,"₪95,186","₪95,186","רח' מחאמיד, שכ' עין ג'ראר אצל מחאמיד חאלד סאלח אום אל-פחם 30010",אל-פחם,
2014,19420233,פעולות תרבות ערבית,אלמיאדין תיאטרון א. א. פחם (ער),580354850,association,"₪66,234","₪66,234","רח' מחאמיד, שכ' עין ג'ראר אצל מחאמיד חאלד סאלח אום אל-פחם 30010",אל-פחם,
2011,19310373,פעולות תרבות ערבית - תמיכה,אלמיאדין תיאטרון א. א. פחם (ער),580354850,association,"₪23,515","₪23,515","רח' מחאמיד, שכ' עין ג'ראר אצל מחאמיד חאלד סאלח אום אל-פחם 30010",אל-פחם,
2008,19310343,פרסי תרבות,אלמיאדין תיאטרון א. א. פחם (ער),580354850,association,"₪20,000","₪20,000","רח' מחאמיד, שכ' עין ג'ראר אצל מחאמיד חאלד סאלח אום אל-פחם 30010",אל-פחם,
2016,19420233,פעולות תרבות ערבית,אלמינא - בית ליוצרים (ער),580557767,association,"₪597,501","₪597,501",10 נורמן עיסא רח' שמואל אביצור תל אביב - יפו 68136,תל אביב - יפו,
2015,19420233,פעולות תרבות ערבית,אלמינא - בית ליוצרים (ער),580557767,association,"₪315,500","₪315,500",10 נורמן עיסא רח' שמואל אביצור תל אביב - יפו 68136,תל אביב - יפו,
2016,19420207,קבוצות תאטרון,אלמינא - בית ליוצרים (ער),580557767,association,"₪48,970","₪48,970",10 נורמן עיסא רח' שמואל אביצור תל אביב - יפו 68136,תל אביב - יפו,
2015,19420207,קבוצות תאטרון,אלמינא - בית ליוצרים (ער),580557767,association,"₪48,750","₪48,750",10 נורמן עיסא רח' שמואל אביצור תל אביב - יפו 68136,תל אביב - יפו,
2015,19420249,פעולות תרבות לדרוזים,אלמנאהל - עמותה למען קידום הנשים הד,580342228,association,"₪118,059","₪118,059",רח' סולטאן אלאטרשאצל אנשראח עזאם ת.ד 898 אבו סנאן 24905,אבו סנאן,
2012,19420249,,אלמנאהל - עמותה למען קידום הנשים הד,580342228,association,"₪109,397","₪109,397",רח' סולטאן אלאטרשאצל אנשראח עזאם ת.ד 898 אבו סנאן 24905,אבו סנאן,
2009,19310399,פעולות תרבות לדרוזים - תמיכה,אלמנאהל - עמותה למען קידום הנשים הד,580342228,association,"₪85,513","₪85,513",רח' סולטאן אלאטרשאצל אנשראח עזאם ת.ד 898 אבו סנאן 24905,אבו סנאן,
2008,19310399,פעולות תרבות לדרוזים - תמיכה,אלמנאהל - עמותה למען קידום הנשים הד,580342228,association,"₪80,000","₪80,000",רח' סולטאן אלאטרשאצל אנשראח עזאם ת.ד 898 אבו סנאן 24905,אבו סנאן,
2011,19310399,פעולות תרבות לדרוזים - תמיכה,אלמנאהל - עמותה למען קידום הנשים הד,580342228,association,"₪79,000","₪79,000",רח' סולטאן אלאטרשאצל אנשראח עזאם ת.ד 898 אבו סנאן 24905,אבו סנאן,
2014,19420249,פעולות תרבות לדרוזים,אלמנאהל - עמותה למען קידום הנשים הד,580342228,association,"₪73,030","₪73,030",רח' סולטאן אלאטרשאצל אנשראח עזאם ת.ד 898 אבו סנאן 24905,אבו סנאן,
2010,19310399,פעולות תרבות לדרוזים - תמיכה,אלמנאהל - עמותה למען קידום הנשים הד,580342228,association,"₪50,000","₪50,000",רח' סולטאן אלאטרשאצל אנשראח עזאם ת.ד 898 אבו סנאן 24905,אבו סנאן,
2015,19420233,פעולות תרבות ערבית,אלמנאר - עמותה לטיפוח וקידום ערכים,580382844,association,"₪206,250","₪206,250",ת.ד. 151 אצל חלילה מוחי אלדין מג'ד אל כרום 20190,מג'ד אל כרום,
2016,19420233,פעולות תרבות ערבית,אלמנאר - עמותה לטיפוח וקידום ערכים,580382844,association,"₪205,870","₪205,870",ת.ד. 151 אצל חלילה מוחי אלדין מג'ד אל כרום 20190,מג'ד אל כרום,
2014,19420233,פעולות תרבות ערבית,אלמנאר - עמותה לטיפוח וקידום ערכים,580382844,association,"₪162,619","₪162,619",ת.ד. 151 אצל חלילה מוחי אלדין מג'ד אל כרום 20190,מג'ד אל כרום,
2013,19420233,פעולות תרבות ערבית,אלמנאר - עמותה לטיפוח וקידום ערכים,580382844,association,"₪162,485","₪162,485",ת.ד. 151 אצל חלילה מוחי אלדין מג'ד אל כרום 20190,מג'ד אל כרום,
2012,19420233,,אלמנאר - עמותה לטיפוח וקידום ערכים,580382844,association,"₪156,742","₪156,742",ת.ד. 151 אצל חלילה מוחי אלדין מג'ד אל כרום 20190,מג'ד אל כרום,
2010,19310373,פעולות תרבות ערבית - תמיכה,אלמנאר - עמותה לטיפוח וקידום ערכים,580382844,association,"₪135,727","₪135,727",ת.ד. 151 אצל חלילה מוחי אלדין מג'ד אל כרום 20190,מג'ד אל כרום,
2011,19310373,פעולות תרבות ערבית - תמיכה,אלמנאר - עמותה לטיפוח וקידום ערכים,580382844,association,"₪135,615","₪135,615",ת.ד. 151 אצל חלילה מוחי אלדין מג'ד אל כרום 20190,מג'ד אל כרום,
2008,19310373,פעולות תרבות ערבית - תמיכה,אלמנאר - עמותה לטיפוח וקידום ערכים,580382844,association,"₪117,656","₪108,832",ת.ד. 151 אצל חלילה מוחי אלדין מג'ד אל כרום 20190,מג'ד אל כרום,
2009,19310373,פעולות תרבות ערבית - תמיכה,אלמנאר - עמותה לטיפוח וקידום ערכים,580382844,association,"₪98,836","₪98,836",ת.ד. 151 אצל חלילה מוחי אלדין מג'ד אל כרום 20190,מג'ד אל כרום,
2009,19310340,תמיכה לשיפוצים במוסדות תרבות,אלמנאר - עמותה לטיפוח וקידום ערכים,580382844,association,"₪50,000","₪50,000",ת.ד. 151 אצל חלילה מוחי אלדין מג'ד אל כרום 20190,מג'ד אל כרום,
2016,19420223,ספריות תמיכות,אלמנארה - עמותה לקידום אנשים עם מוג,580442697,association,"₪593,993","₪593,993","רח 1000 77 רחוב 1000 מספר 77 ת""ד 11053 נצרת 1621175",נצרת,
2015,19420223,ספריות תמיכות,אלמנארה - עמותה לקידום אנשים עם מוג,580442697,association,"₪410,392","₪410,392","רח 1000 77 רחוב 1000 מספר 77 ת""ד 11053 נצרת 1621175",נצרת,
2014,19420223,ספריות תמיכות,אלמנארה - עמותה לקידום אנשים עם מוג,580442697,association,"₪189,762","₪189,762","רח 1000 77 רחוב 1000 מספר 77 ת""ד 11053 נצרת 1621175",נצרת,
2015,19420233,פעולות תרבות ערבית,אלמנארה - עמותה לקידום אנשים עם מוג,580442697,association,"₪84,630","₪84,630","רח 1000 77 רחוב 1000 מספר 77 ת""ד 11053 נצרת 1621175",נצרת,
2015,19420210,תמיכה בשיפוצי מוסדות,אלמנארה - עמותה לקידום אנשים עם מוג,580442697,association,"₪74,350",₪0,"רח 1000 77 רחוב 1000 מספר 77 ת""ד 11053 נצרת 1621175",נצרת,
2016,19420233,פעולות תרבות ערבית,אלמנארה - עמותה לקידום אנשים עם מוג,580442697,association,"₪67,558","₪67,558","רח 1000 77 רחוב 1000 מספר 77 ת""ד 11053 נצרת 1621175",נצרת,
